channelGrouping,week,pageviews,transactionRevenue,spend,transactions,ROI,cluster
(Other),3,7.0,0.0,3.5,0,0.0,1
(Other),4,1.0,0.0,0.5,0,0.0,1
(Other),9,1.0,0.0,0.5,0,0.0,1
(Other),13,4.0,0.0,2.0,0,0.0,1
(Other),14,39.0,0.0,19.5,0,0.0,1
(Other),15,184.0,0.0,92.0,0,0.0,1
(Other),16,170.0,9.99,85.0,0,0.11752941176470588,1
(Other),17,11.0,0.0,5.5,0,0.0,1
(Other),18,4.0,0.0,2.0,0,0.0,1
(Other),20,6.0,0.0,3.0,0,0.0,1
(Other),21,8.0,0.0,4.0,0,0.0,1
(Other),29,1.0,0.0,0.5,0,0.0,1
(Other),34,1.0,0.0,0.5,0,0.0,1
(Other),35,1.0,0.0,0.5,0,0.0,1
(Other),36,1.0,0.0,0.5,0,0.0,1
(Other),39,2.0,0.0,1.0,0,0.0,1
(Other),47,1.0,0.0,0.5,0,0.0,1
Affiliates,1,532.0,0.0,266.0,0,0.0,1
Affiliates,2,738.0,0.0,369.0,0,0.0,1
Affiliates,3,735.0,0.0,367.5,0,0.0,1
Affiliates,4,768.0,0.0,384.0,0,0.0,1
Affiliates,5,802.0,0.0,401.0,0,0.0,1
Affiliates,6,876.0,21.99,438.0,0,0.050205479452054794,1
Affiliates,7,800.0,0.0,400.0,0,0.0,1
Affiliates,8,689.0,0.0,344.5,0,0.0,1
Affiliates,9,917.0,0.0,458.5,0,0.0,1
Affiliates,10,741.0,7.97,370.5,0,0.021511470985155195,1
Affiliates,11,833.0,0.0,416.5,0,0.0,1
Affiliates,12,889.0,0.0,444.5,0,0.0,1
Affiliates,13,827.0,0.0,413.5,0,0.0,1
Affiliates,14,868.0,0.0,434.0,0,0.0,1
Affiliates,15,861.0,0.0,430.5,0,0.0,1
Affiliates,16,760.0,0.0,380.0,0,0.0,1
Affiliates,17,743.0,0.0,371.5,0,0.0,1
Affiliates,18,823.0,0.0,411.5,0,0.0,1
Affiliates,19,762.0,0.0,381.0,0,0.0,1
Affiliates,20,702.0,0.0,351.0,0,0.0,1
Affiliates,21,768.0,0.0,384.0,0,0.0,1
Affiliates,22,859.0,0.0,429.5,0,0.0,1
Affiliates,23,640.0,0.0,320.0,0,0.0,1
Affiliates,24,804.0,0.0,402.0,0,0.0,1
Affiliates,25,729.0,0.0,364.5,0,0.0,1
Affiliates,26,692.0,0.0,346.0,0,0.0,1
Affiliates,27,1379.0,233.85,689.5,2,0.3391588107324148,1
Affiliates,28,1978.0,232.87,989.0,2,0.23546006066734076,1
Affiliates,29,1120.0,20.99,560.0,0,0.03748214285714285,1
Affiliates,30,695.0,0.0,347.5,0,0.0,1
Affiliates,31,2462.0,0.0,1231.0,0,0.0,1
Affiliates,32,1407.0,15.97,703.5,0,0.022700781805259418,1
Affiliates,33,980.0,53.75,490.0,1,0.1096938775510204,1
Affiliates,34,835.0,0.0,417.5,0,0.0,1
Affiliates,35,2451.0,0.0,1225.5,0,0.0,1
Affiliates,36,1002.0,0.0,501.0,0,0.0,1
Affiliates,37,1114.0,0.0,557.0,0,0.0,1
Affiliates,38,1111.0,0.0,555.5,0,0.0,1
Affiliates,39,869.0,0.0,434.5,0,0.0,1
Affiliates,40,906.0,0.0,453.0,0,0.0,1
Affiliates,41,770.0,9.99,385.0,0,0.02594805194805195,1
Affiliates,42,865.0,0.0,432.5,0,0.0,1
Affiliates,43,853.0,0.0,426.5,0,0.0,1
Affiliates,44,745.0,0.0,372.5,0,0.0,1
Affiliates,45,981.0,0.0,490.5,0,0.0,1
Affiliates,46,902.0,0.0,451.0,0,0.0,1
Affiliates,47,767.0,0.0,383.5,0,0.0,1
Affiliates,48,637.0,0.0,318.5,0,0.0,1
Affiliates,49,791.0,0.0,395.5,0,0.0,1
Affiliates,50,631.0,0.0,315.5,0,0.0,1
Affiliates,51,633.0,0.0,316.5,0,0.0,1
Affiliates,52,375.0,0.0,187.5,0,0.0,1
Direct,1,11117.0,8360.14,5558.5,84,1.5040280651254834,0
Direct,2,8917.0,6761.37,4458.5,68,1.5165122799147694,0
Direct,3,10651.0,5716.89,5325.5,57,1.0734935686789973,0
Direct,4,14636.0,5362.5599999999995,7318.0,54,0.7327903798852144,0
Direct,5,9552.0,8871.24,4776.0,89,1.8574623115577888,0
Direct,6,8029.0,9437.960000000001,4014.5,94,2.350967741935484,0
Direct,7,11871.0,26561.019999999997,5935.5,266,4.474942296352455,0
Direct,8,9878.0,10752.210000000001,4939.0,108,2.17700141729095,0
Direct,9,9676.0,6405.96,4838.0,64,1.3240926002480364,0
Direct,10,9525.0,5162.59,4762.5,52,1.0840083989501312,0
Direct,11,9005.0,4403.31,4502.5,44,0.9779700166574127,0
Direct,12,9304.0,12030.56,4652.0,120,2.586104901117799,0
Direct,13,10285.0,13803.47,5142.5,138,2.6841944579484687,0
Direct,14,9216.0,3239.38,4608.0,32,0.7029904513888889,0
Direct,15,8861.0,5898.59,4430.5,59,1.3313598916600835,0
Direct,16,8623.0,5014.74,4311.5,50,1.1631079670648266,0
Direct,17,15821.0,11096.1,7910.5,111,1.4027052651539094,0
Direct,18,11902.0,9961.79,5951.0,100,1.673969080826752,0
Direct,19,9170.0,7594.54,4585.0,76,1.6563882224645583,0
Direct,20,22062.0,7528.26,11031.0,75,0.6824639651890128,2
Direct,21,15196.0,4332.68,7598.0,43,0.5702395367201896,0
Direct,22,8784.0,5153.6900000000005,4392.0,52,1.173426684881603,0
Direct,23,9551.0,3102.0099999999998,4775.5,31,0.6495675845461207,0
Direct,24,7785.0,6740.92,3892.5,67,1.7317713551701992,0
Direct,25,7473.0,7858.26,3736.5,79,2.103107185869129,0
Direct,26,8572.0,6543.259999999999,4286.0,65,1.5266588894073727,0
Direct,27,8641.0,5895.85,4320.5,59,1.3646221502140956,0
Direct,28,10062.0,6844.82,5031.0,68,1.3605287219240707,0
Direct,29,10109.0,14401.529999999999,5054.5,144,2.8492491838955383,0
Direct,30,9528.0,4996.16,4764.0,50,1.0487321578505457,0
Direct,31,20720.0,14403.28,10360.0,144,1.3902779922779924,2
Direct,32,15404.0,8588.92,7702.0,86,1.1151545053232927,0
Direct,33,16023.0,5054.22,8011.5,51,0.6308706234787493,0
Direct,34,13431.0,7822.4,6715.5,78,1.1648276375549103,0
Direct,35,13024.0,2257.96,6512.0,23,0.34673832923832926,0
Direct,36,11084.0,5132.46,5542.0,51,0.9261024900757849,0
Direct,37,12125.0,23183.62,6062.5,232,3.824102268041237,0
Direct,38,12765.0,4925.84,6382.5,49,0.7717728162945554,0
Direct,39,9807.0,2980.83,4903.5,30,0.6078984398898746,0
Direct,40,10456.0,4424.21,5228.0,44,0.846252869166029,0
Direct,41,10437.0,12788.19,5218.5,128,2.4505490083357286,0
Direct,42,9471.0,13004.26,4735.5,130,2.7461218456340406,0
Direct,43,9792.0,10491.35,4896.0,105,2.1428410947712417,0
Direct,44,8819.0,7883.47,4409.5,79,1.7878376233133009,0
Direct,45,10712.0,4923.9,5356.0,49,0.9193241224794623,0
Direct,46,11083.0,9299.12,5541.5,93,1.6780871605161058,0
Direct,47,9566.0,5142.84,4783.0,51,1.0752331172904035,0
Direct,48,14265.0,15609.05,7132.5,156,2.188440238345601,0
Direct,49,14326.0,15125.75,7163.0,151,2.1116501465866255,0
Direct,50,18364.0,10215.04,9182.0,102,1.1125070790677414,0
Direct,51,12182.0,7823.7,6091.0,78,1.2844688885240518,0
Direct,52,7182.0,3928.28,3591.0,39,1.0939236981342244,0
Display,1,733.0,161.38,366.5,2,0.4403274215552524,1
Display,2,1194.0,1143.47,597.0,11,1.9153601340033501,1
Display,3,623.0,286.26,311.5,3,0.9189727126805778,1
Display,4,758.0,754.67,379.0,8,1.9912137203166227,1
Display,5,716.0,597.4200000000001,358.0,6,1.6687709497206706,1
Display,6,630.0,23.98,315.0,0,0.07612698412698413,1
Display,7,797.0,1013.9,398.5,10,2.5442910915934753,1
Display,8,299.0,0.0,149.5,0,0.0,1
Display,9,608.0,358.33,304.0,4,1.1787171052631578,1
Display,10,436.0,318.71000000000004,218.0,3,1.4619724770642204,1
Display,11,417.0,0.0,208.5,0,0.0,1
Display,12,484.0,8677.83,242.0,87,35.85880165289256,1
Display,13,338.0,161.16000000000003,169.0,2,0.9536094674556215,1
Display,14,415.0,32998.65,207.5,330,159.0296385542169,1
Display,15,288.0,192.71,144.0,2,1.338263888888889,1
Display,16,821.0,9285.36,410.5,93,22.619634591961024,1
Display,17,594.0,236.09,297.0,2,0.7949158249158249,1
Display,18,522.0,2798.3,261.0,28,10.721455938697318,1
Display,19,331.0,156.49,165.5,2,0.945558912386707,1
Display,20,400.0,0.0,200.0,0,0.0,1
Display,21,440.0,490.53,220.0,5,2.229681818181818,1
Display,22,330.0,1658.65,165.0,17,10.052424242424243,1
Display,23,584.0,379.13,292.0,4,1.2983904109589042,1
Display,24,316.0,2332.56,158.0,23,14.763037974683543,1
Display,25,376.0,33.98,188.0,0,0.18074468085106382,1
Display,26,276.0,3706.9300000000003,138.0,37,26.8618115942029,1
Display,27,254.0,0.0,127.0,0,0.0,1
Display,28,722.0,391.93,361.0,4,1.085678670360111,1
Display,29,1027.0,936.36,513.5,9,1.8234858812074002,1
Display,30,1284.0,261.45,642.0,3,0.4072429906542056,1
Display,31,1037.0,86.03,518.5,1,0.16592092574734812,1
Display,32,795.0,554.35,397.5,6,1.3945911949685534,1
Display,33,755.0,670.79,377.5,7,1.7769271523178807,1
Display,34,530.0,107.47999999999999,265.0,1,0.4055849056603773,1
Display,35,503.0,110.39999999999999,251.5,1,0.4389662027833002,1
Display,36,509.0,2137.62,254.5,21,8.399292730844794,1
Display,37,768.0,505.19,384.0,5,1.3155989583333334,1
Display,38,558.0,239.92,279.0,2,0.8599283154121863,1
Display,39,748.0,0.0,374.0,0,0.0,1
Display,40,1089.0,269.15,544.5,3,0.49430670339761246,1
Display,41,481.0,0.0,240.5,0,0.0,1
Display,42,515.0,264.72,257.5,3,1.0280388349514564,1
Display,43,924.0,159.95999999999998,462.0,2,0.34623376623376617,1
Display,44,632.0,122.29,316.0,1,0.38699367088607595,1
Display,45,1048.0,828.91,524.0,8,1.5818893129770992,1
Display,46,737.0,67.77000000000001,368.5,1,0.18390773405698782,1
Display,47,568.0,51.99,284.0,1,0.18306338028169014,1
Display,48,1126.0,520.2,563.0,5,0.9239786856127887,1
Display,49,1086.0,1652.3600000000001,543.0,17,3.0430202578268877,1
Display,50,1174.0,206.28,587.0,2,0.35141396933560476,1
Display,51,994.0,403.84000000000003,497.0,4,0.8125553319919517,1
Display,52,612.0,21.98,306.0,0,0.07183006535947713,1
Organic Search,1,26803.0,3150.23,13401.5,32,0.23506547774502853,2
Organic Search,2,27802.0,5519.4,13901.0,55,0.39705057190130205,2
Organic Search,3,26005.0,4484.5,13002.5,45,0.34489521245914245,2
Organic Search,4,28011.0,2662.9700000000003,14005.5,27,0.19013744600335583,2
Organic Search,5,30208.0,7413.71,15104.0,74,0.4908441472457627,2
Organic Search,6,30978.0,4728.28,15489.0,47,0.3052669636516237,2
Organic Search,7,28242.0,3087.11,14121.0,31,0.21861836980383825,2
Organic Search,8,29905.0,4310.57,14952.5,43,0.28828423340578496,2
Organic Search,9,30469.0,5357.54,15234.5,54,0.3516715350027897,2
Organic Search,10,30155.0,5686.72,15077.5,57,0.37716597579174266,2
Organic Search,11,28329.0,7856.21,14164.5,79,0.5546408274206643,2
Organic Search,12,30435.0,9557.01,15217.5,96,0.6280275998028586,2
Organic Search,13,30044.0,7310.59,15022.0,73,0.48665890027958997,2
Organic Search,14,29351.0,6461.2699999999995,14675.5,65,0.44027597015433884,2
Organic Search,15,27047.0,5103.76,13523.5,51,0.377399341886346,2
Organic Search,16,27387.0,6801.27,13693.5,68,0.49667871617920917,2
Organic Search,17,28220.0,5045.83,14110.0,50,0.3576066619418852,2
Organic Search,18,26370.0,5379.71,13185.0,54,0.40801744406522567,2
Organic Search,19,27382.0,7881.07,13691.0,79,0.5756387407786137,2
Organic Search,20,28519.0,6671.74,14259.5,67,0.46788036046144676,2
Organic Search,21,23372.0,3442.92,11686.0,34,0.2946192024644874,2
Organic Search,22,27973.0,3190.5899999999997,13986.5,32,0.2281192578557895,2
Organic Search,23,28262.0,4084.45,14131.0,41,0.2890418229424669,2
Organic Search,24,25676.0,10925.12,12838.0,109,0.8509985979124475,2
Organic Search,25,25378.0,9795.47,12689.0,98,0.7719654819134683,2
Organic Search,26,29120.0,6354.66,14560.0,64,0.43644642857142857,2
Organic Search,27,25763.0,4455.15,12881.5,45,0.3458564608158987,2
Organic Search,28,28572.0,4886.65,14286.0,49,0.34205865882682346,2
Organic Search,29,32595.0,7054.97,16297.5,71,0.4328866390550698,2
Organic Search,30,31794.0,5725.7,15897.0,57,0.3601748757627225,2
Organic Search,31,38044.0,6600.8099999999995,19022.0,66,0.3470092524445379,2
Organic Search,32,30233.0,5875.01,15116.5,59,0.38864882744021434,2
Organic Search,33,32303.0,9264.88,16151.5,93,0.5736235024610716,2
Organic Search,34,36766.0,18624.0,18383.0,186,1.0131099385301638,2
Organic Search,35,29888.0,6934.96,14944.0,69,0.4640631691648822,2
Organic Search,36,30297.0,4786.25,15148.5,48,0.31595537511964883,2
Organic Search,37,35809.0,7560.24,17904.5,76,0.42225362339076766,2
Organic Search,38,35271.0,3978.9,17635.5,40,0.22561878030109722,2
Organic Search,39,34207.0,10724.87,17103.5,107,0.627057035109773,2
Organic Search,40,41203.0,5946.57,20601.5,59,0.2886474285852972,2
Organic Search,41,32231.0,4694.29,16115.5,47,0.2912903726226304,2
Organic Search,42,33592.0,8709.38,16796.0,87,0.5185389378423434,2
Organic Search,43,29732.0,4859.86,14866.0,49,0.3269110722453921,2
Organic Search,44,28454.0,6158.94,14227.0,62,0.4329050397132213,2
Organic Search,45,28675.0,6740.42,14337.5,67,0.47012519616390586,2
Organic Search,46,32338.0,5831.4,16169.0,58,0.3606531016142,2
Organic Search,47,32020.0,4339.9,16010.0,43,0.27107432854465957,2
Organic Search,48,35978.0,8826.14,17989.0,88,0.4906409472455389,2
Organic Search,49,38218.0,7317.5599999999995,19109.0,73,0.3829378826730859,2
Organic Search,50,37220.0,7878.0,18610.0,79,0.42332079527135946,2
Organic Search,51,26720.0,3586.72,13360.0,36,0.26846706586826347,2
Organic Search,52,19852.0,2756.24,9926.0,28,0.2776788232923635,0
Paid Search,1,3231.0,1323.26,1615.5,13,0.8191024450634479,1
Paid Search,2,2303.0,55.959999999999994,1151.5,1,0.048597481545809805,1
Paid Search,3,2868.0,514.76,1434.0,5,0.35896792189679216,1
Paid Search,4,3394.0,486.24,1697.0,5,0.28652916912197995,1
Paid Search,5,1765.0,93.95,882.5,1,0.10645892351274788,1
Paid Search,6,2558.0,141.92000000000002,1279.0,1,0.11096168881939016,1
Paid Search,7,1930.0,608.0699999999999,965.0,6,0.6301243523316061,1
Paid Search,8,2078.0,941.01,1039.0,9,0.9056881616939365,1
Paid Search,9,1714.0,895.1999999999999,857.0,9,1.0445740956826137,1
Paid Search,10,1202.0,40.97,601.0,0,0.06816971713810316,1
Paid Search,11,1876.0,738.0,938.0,7,0.7867803837953091,1
Paid Search,12,1477.0,191.92999999999998,738.5,2,0.2598916723087339,1
Paid Search,13,1371.0,67.34,685.5,1,0.09823486506199855,1
Paid Search,14,1231.0,3178.19,615.5,32,5.163590576766857,1
Paid Search,15,1391.0,279.61,695.5,3,0.4020273184759166,1
Paid Search,16,1584.0,760.4499999999999,792.0,8,0.9601641414141413,1
Paid Search,17,2040.0,517.6,1020.0,5,0.5074509803921569,1
Paid Search,18,2218.0,1043.06,1109.0,10,0.9405410279531109,1
Paid Search,19,2049.0,1724.41,1024.5,17,1.683172279160566,1
Paid Search,20,2365.0,247.0,1182.5,2,0.20887949260042282,1
Paid Search,21,2326.0,348.37,1163.0,3,0.2995442820292347,1
Paid Search,22,2502.0,971.8299999999999,1251.0,10,0.7768425259792165,1
Paid Search,23,2873.0,263.90999999999997,1436.5,3,0.18371736860424642,1
Paid Search,24,3368.0,2136.42,1684.0,21,1.2686579572446557,1
Paid Search,25,3045.0,1090.1,1522.5,11,0.7159934318555008,1
Paid Search,26,3404.0,362.79,1702.0,4,0.2131551116333725,1
Paid Search,27,2386.0,331.95,1193.0,3,0.27824811399832355,1
Paid Search,28,2454.0,754.2,1227.0,8,0.6146699266503668,1
Paid Search,29,2523.0,1031.72,1261.5,10,0.8178517637732858,1
Paid Search,30,2738.0,1375.69,1369.0,14,1.0048867786705624,1
Paid Search,31,3140.0,640.9000000000001,1570.0,6,0.4082165605095542,1
Paid Search,32,2536.0,769.29,1268.0,8,0.6066955835962144,1
Paid Search,33,2676.0,1361.5,1338.0,14,1.0175635276532138,1
Paid Search,34,2544.0,245.48999999999998,1272.0,2,0.1929952830188679,1
Paid Search,35,2195.0,290.99,1097.5,3,0.2651389521640091,1
Paid Search,36,3182.0,746.38,1591.0,7,0.4691263356379635,1
Paid Search,37,3025.0,319.67999999999995,1512.5,3,0.21135867768595037,1
Paid Search,38,2946.0,1272.63,1473.0,13,0.8639714867617109,1
Paid Search,39,2951.0,2329.69,1475.5,23,1.5789156218231108,1
Paid Search,40,2960.0,963.6800000000001,1480.0,10,0.6511351351351352,1
Paid Search,41,2470.0,114.91999999999999,1235.0,1,0.09305263157894736,1
Paid Search,42,2325.0,318.87,1162.5,3,0.27429677419354836,1
Paid Search,43,2712.0,1338.36,1356.0,13,0.9869911504424778,1
Paid Search,44,2260.0,294.21,1130.0,3,0.2603628318584071,1
Paid Search,45,2739.0,1030.48,1369.5,10,0.7524497991967871,1
Paid Search,46,2520.0,209.01,1260.0,2,0.16588095238095238,1
Paid Search,47,3258.0,493.74,1629.0,5,0.3030939226519337,1
Paid Search,48,4279.0,2480.42,2139.5,25,1.1593456415050245,1
Paid Search,49,5378.0,2653.5499999999997,2689.0,27,0.9868166604685755,1
Paid Search,50,5446.0,1606.04,2723.0,16,0.5898053617333823,1
Paid Search,51,3475.0,1158.19,1737.5,12,0.6665841726618705,1
Paid Search,52,2779.0,404.97,1389.5,4,0.2914501619287514,1
Referral,1,10385.0,9397.97,5192.5,94,1.8099123736157918,0
Referral,2,10929.0,9100.42,5464.5,91,1.6653710312013907,0
Referral,3,10500.0,9725.84,5250.0,97,1.8525409523809524,0
Referral,4,10446.0,9248.789999999999,5223.0,92,1.7707811602527281,0
Referral,5,11287.0,10330.67,5643.5,103,1.8305431026845043,0
Referral,6,10396.0,7487.2,5198.0,75,1.4404001539053481,0
Referral,7,10662.0,9404.95,5331.0,94,1.7641999624835867,0
Referral,8,9412.0,7670.53,4706.0,77,1.6299468763280918,0
Referral,9,9370.0,6793.4,4685.0,68,1.4500320170757737,0
Referral,10,9689.0,13345.22,4844.5,133,2.7547156569305398,0
Referral,11,10382.0,10057.52,5191.0,101,1.9374918127528415,0
Referral,12,9692.0,10682.23,4846.0,107,2.204339661576558,0
Referral,13,10062.0,9586.78,5031.0,96,1.9055416418207116,0
Referral,14,10148.0,12032.53,5074.0,120,2.3714091446590464,0
Referral,15,10782.0,12054.51,5391.0,121,2.236043405676127,0
Referral,16,10815.0,18662.01,5407.5,187,3.4511345353675447,0
Referral,17,10367.0,17130.73,5183.5,171,3.3048577216166684,0
Referral,18,10302.0,9836.35,5151.0,98,1.9096000776548243,0
Referral,19,10803.0,15018.86,5401.5,150,2.7804980098120895,0
Referral,20,10891.0,9058.36,5445.5,91,1.6634579010191903,0
Referral,21,12888.0,10557.48,6444.0,106,1.638342644320298,0
Referral,22,11689.0,15584.31,5844.5,156,2.666491573274018,0
Referral,23,12263.0,10665.55,6131.5,107,1.7394683193345837,0
Referral,24,12626.0,21076.39,6313.0,211,3.3385696182480595,0
Referral,25,12212.0,8646.94,6106.0,86,1.4161382246970193,0
Referral,26,12021.0,6822.65,6010.5,68,1.135121870060727,0
Referral,27,8937.0,7976.25,4468.5,80,1.784994964753273,0
Referral,28,14681.0,12143.06,7340.5,121,1.6542551597302635,0
Referral,29,16215.0,17875.92,8107.5,179,2.2048621646623494,0
Referral,30,15673.0,13917.22,7836.5,139,1.7759484463727429,0
Referral,31,24101.0,16939.52,12050.5,169,1.405710966349944,2
Referral,32,22553.0,19268.69,11276.5,193,1.708747395025052,2
Referral,33,20642.0,17895.15,10321.0,179,1.733858153279721,2
Referral,34,17394.0,25398.87,8697.0,254,2.9204173853052775,0
Referral,35,18319.0,16285.14,9159.5,163,1.777950761504449,0
Referral,36,15553.0,11397.62,7776.5,114,1.465649070918794,0
Referral,37,15827.0,12745.24,7913.5,127,1.6105692803437164,0
Referral,38,15698.0,9544.7,7849.0,95,1.2160402599057205,0
Referral,39,16057.0,13691.91,8028.5,137,1.705413215420066,0
Referral,40,21214.0,10850.39,10607.0,109,1.0229461676251532,2
Referral,41,14191.0,7850.35,7095.5,79,1.1063843280952717,0
Referral,42,13109.0,10626.72,6554.5,106,1.6212861392936149,0
Referral,43,12317.0,7105.24,6158.5,71,1.15372899244946,0
Referral,44,11353.0,10820.83,5676.5,108,1.9062503303091693,0
Referral,45,11637.0,7314.13,5818.5,73,1.257047348973103,0
Referral,46,14313.0,12340.9,7156.5,123,1.7244323342415986,0
Referral,47,13359.0,11497.51,6679.5,115,1.721312972527884,0
Referral,48,20426.0,11922.02,10213.0,119,1.1673377068442181,2
Referral,49,23912.0,24684.3,11956.0,247,2.0645951823352293,2
Referral,50,25130.0,33847.96,12565.0,338,2.6938288897731795,2
Referral,51,16581.0,12063.5,8290.5,121,1.455099209939087,0
Referral,52,7386.0,5448.58,3693.0,54,1.4753804494990523,0
Social,1,4267.0,0.0,2133.5,0,0.0,1
Social,2,4612.0,72.97999999999999,2306.0,1,0.03164787510841283,1
Social,3,4676.0,3.98,2338.0,0,0.0017023096663815226,1
Social,4,4672.0,0.0,2336.0,0,0.0,1
Social,5,4969.0,177.86,2484.5,2,0.07158784463674785,1
Social,6,4990.0,74.97,2495.0,1,0.030048096192384768,1
Social,7,5915.0,259.47,2957.5,3,0.08773288250211328,1
Social,8,6114.0,65.91,3057.0,1,0.0215603532875368,1
Social,9,5718.0,264.91999999999996,2859.0,3,0.09266176984959774,1
Social,10,6016.0,18.99,3008.0,0,0.006313164893617021,1
Social,11,6063.0,125.95,3031.5,1,0.041547088899884545,1
Social,12,5802.0,0.0,2901.0,0,0.0,1
Social,13,5853.0,0.0,2926.5,0,0.0,1
Social,14,6783.0,8.99,3391.5,0,0.002650744508329648,0
Social,15,5343.0,83.8,2671.5,1,0.03136814523675838,1
Social,16,4082.0,101.7,2041.0,1,0.04982851543361098,1
Social,17,4510.0,134.36,2255.0,1,0.05958314855875832,1
Social,18,5182.0,945.58,2591.0,9,0.36494789656503285,1
Social,19,1066.0,212.74,533.0,2,0.39913696060037523,1
Social,20,1304.0,35.93,652.0,0,0.05510736196319018,1
Social,21,1221.0,164.45999999999998,610.5,2,0.26938574938574933,1
Social,22,857.0,152.2,428.5,2,0.3551925320886814,1
Social,23,915.0,10.99,457.5,0,0.02402185792349727,1
Social,24,1246.0,5.48,623.0,0,0.008796147672552167,1
Social,25,1180.0,33.59,590.0,0,0.056932203389830516,1
Social,26,4935.0,56.370000000000005,2467.5,1,0.022844984802431613,1
Social,27,5121.0,2.99,2560.5,0,0.0011677406756492874,1
Social,28,3855.0,0.0,1927.5,0,0.0,1
Social,29,3220.0,3.49,1610.0,0,0.0021677018633540373,1
Social,30,2865.0,0.0,1432.5,0,0.0,1
Social,31,9042.0,16.99,4521.0,0,0.003758018137580181,0
Social,32,9430.0,201.88,4715.0,2,0.042816542948038175,0
Social,33,9232.0,109.44,4616.0,1,0.02370883882149047,0
Social,34,10492.0,301.47,5246.0,3,0.05746664125047656,0
Social,35,10174.0,25.48,5087.0,0,0.005008846078238647,0
Social,36,10389.0,24.93,5194.5,0,0.004799306959283858,0
Social,37,9474.0,0.0,4737.0,0,0.0,0
Social,38,10574.0,299.40999999999997,5287.0,3,0.05663135993947418,0
Social,39,9673.0,0.0,4836.5,0,0.0,0
Social,40,9955.0,24.93,4977.5,0,0.005008538422903064,0
Social,41,10835.0,33.99,5417.5,0,0.006274111675126904,0
Social,42,16406.0,0.0,8203.0,0,0.0,0
Social,43,20608.0,35.98,10304.0,0,0.0034918478260869564,2
Social,44,20416.0,16.99,10208.0,0,0.0016643808777429465,2
Social,45,20810.0,0.0,10405.0,0,0.0,2
Social,46,23943.0,252.97,11971.5,3,0.021131019504656894,2
Social,47,21189.0,0.0,10594.5,0,0.0,2
Social,48,21041.0,85.96,10520.5,1,0.008170714319661612,2
Social,49,8392.0,91.97,4196.0,1,0.021918493803622496,0
Social,50,4943.0,221.54000000000002,2471.5,2,0.08963787173781106,1
Social,51,4011.0,154.91,2005.5,2,0.07724258289703316,1
Social,52,4309.0,0.0,2154.5,0,0.0,1
